# s  	mu_x  	mu_y  	beta_x  	beta_y  	alpha_x  	alpha_y  	D_x  	D_y  	Dp_x  	Dp_y
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.042593897999999939e+02 3.227889686000000324e+01 -1.869593035999999930e+00 6.259983148000000108e-01 7.963803054000000436e+00 0.000000000000000000e+00 1.413851574999999972e-01 0.000000000000000000e+00
9.705000000000000071e+00 1.605969100999999830e-02 4.423251853000000067e-02 8.152460842000000696e+01 4.223448366000000220e+01 1.577601988999999927e+00 -8.957586940999999747e-01 7.019597774000000179e+00 0.000000000000000000e+00 -1.371777684000000108e-01 0.000000000000000000e+00
1.636499999999999844e+01 3.094142092000000052e-02 6.608579433000000281e-02 6.240933062999999947e+01 5.605542180999999857e+01 1.292591910000000066e+00 -1.179349329999999973e+00 6.132454387000000118e+00 0.000000000000000000e+00 -1.287270793999999996e-01 0.000000000000000000e+00
2.301500000000000057e+01 5.050949247000000031e-02 8.259042963000000348e-02 4.711050059000000090e+01 7.362233938999999339e+01 1.008009777999999912e+00 -1.462154543000000029e+00 5.302879230000000277e+00 0.000000000000000000e+00 -1.202763902999999940e-01 0.000000000000000000e+00
2.339499999999999957e+01 5.180375389999999913e-02 8.340574391999999726e-02 4.635059273000000246e+01 7.473973139000000288e+01 9.917477603000000030e-01 -1.478350719999999896e+00 5.257174200999999769e+00 0.000000000000000000e+00 -1.202763902999999940e-01 0.000000000000000000e+00
2.965500000000000114e+01 7.642459544999999355e-02 9.524587974999999818e-02 3.561104338999999896e+01 9.491292699000000255e+01 7.238555947000000490e-01 -1.744089569000000006e+00 4.530703289999999939e+00 0.000000000000000000e+00 -1.118257012999999966e-01 0.000000000000000000e+00
3.508270000000000266e+01 1.028340288999999991e-01 1.036780741000000033e-01 3.245064493999999655e+01 1.032925385000000063e+02 -6.223525776999999648e-01 1.851925708000000004e+00 4.154790252999999822e+00 0.000000000000000000e+00 3.728206006999999766e-02 0.000000000000000000e+00
4.169270000000000209e+01 1.312978810000000052e-01 1.152123614000000046e-01 4.254592625000000083e+01 8.067733144000000323e+01 -9.049386415000000294e-01 1.569370053000000098e+00 4.427672238000000426e+00 0.000000000000000000e+00 4.573274909999999749e-02 0.000000000000000000e+00
4.833270000000000266e+01 1.529284002999999892e-01 1.302102093999999988e-01 5.644824323000000277e+01 6.172358424000000099e+01 -1.188807259000000061e+00 1.285054224000000023e+00 4.757784630999999820e+00 0.000000000000000000e+00 5.418343812999999731e-02 0.000000000000000000e+00
5.498270000000000124e+01 1.693163477000000083e-01 1.500107984999999866e-01 7.414975099000000114e+01 4.652819563999999986e+01 -1.473103394000000010e+00 9.999209999999999487e-01 5.144550804999999727e+00 0.000000000000000000e+00 6.263412715999999714e-02 0.000000000000000000e+00
6.164269999999999783e+01 1.819144768000000023e-01 1.763551237000000049e-01 9.566750729999999692e+01 3.511288591000000281e+01 -1.757827046000000060e+00 7.140560458000000388e-01 5.588139774000000060e+00 0.000000000000000000e+00 7.108481618999999696e-02 0.000000000000000000e+00
6.360040000000000049e+01 1.850578616000000121e-01 1.855862776999999963e-01 1.027139533000000000e+02 3.248187459999999760e+01 -1.841522199999999998e+00 6.298737223999999468e-01 5.727302518000000120e+00 0.000000000000000000e+00 7.108481618999999696e-02 0.000000000000000000e+00
7.370040000000000191e+01 2.017538238000000095e-01 2.320552203000000036e-01 8.130221050000000105e+01 4.208264425000000131e+01 1.582609246999999941e+00 -9.036742345999999593e-01 4.791579216999999780e+00 0.000000000000000000e+00 -1.261894500999999891e-01 0.000000000000000000e+00
8.036039999999999850e+01 2.166890240999999884e-01 2.539529625999999984e-01 6.213406186999999647e+01 5.603086677999999665e+01 1.295523304000000042e+00 -1.190544934000000055e+00 3.977617211000000097e+00 0.000000000000000000e+00 -1.177387611000000056e-01 0.000000000000000000e+00
8.075039999999999907e+01 2.176961763999999966e-01 2.550516305000000150e-01 6.113011019000000346e+01 5.696605404000000306e+01 1.278711777000000049e+00 -1.207371105000000000e+00 3.931699093999999839e+00 0.000000000000000000e+00 -1.177387611000000056e-01 0.000000000000000000e+00
8.701040000000000418e+01 2.363637775999999913e-01 2.704448114999999930e-01 4.681002833000000152e+01 7.376844930000000033e+01 1.008868426999999901e+00 -1.476621879999999942e+00 3.221113552999999907e+00 0.000000000000000000e+00 -1.092880720999999944e-01 0.000000000000000000e+00
9.365040000000000475e+01 2.624731765000000161e-01 2.830637428000000178e-01 3.531291059000000132e+01 9.527283432999999491e+01 7.226446138000000019e-01 -1.761819323999999964e+00 2.521899229000000187e+00 0.000000000000000000e+00 -1.008373830000000027e-01 0.000000000000000000e+00
9.907810000000000628e+01 2.891228732000000190e-01 2.914592212000000071e-01 3.214260990999999734e+01 1.038035045000000025e+02 -6.146035116000000409e-01 1.850426708000000087e+00 2.095960922000000171e+00 0.000000000000000000e+00 -2.327659551000000118e-02 0.000000000000000000e+00
1.056881000000000057e+02 3.178630949999999844e-01 3.029281273000000163e-01 4.214032112999999669e+01 8.119651788999999553e+01 -8.979265593999999906e-01 1.569625768999999949e+00 1.968554700000000102e+00 0.000000000000000000e+00 -1.482590647999999962e-02 0.000000000000000000e+00
1.123281000000000063e+02 3.396944125999999953e-01 3.178169540999999931e-01 5.595443442999999917e+01 6.222767300999999662e+01 -1.182535504999999931e+00 1.287072506999999977e+00 1.896562126000000070e+00 0.000000000000000000e+00 -6.375217455000000213e-03 0.000000000000000000e+00
1.189780999999999977e+02 3.562188935000000223e-01 3.374383519999999970e-01 7.357745934999999804e+01 4.699370746999999682e+01 -1.467573084000000083e+00 1.003703876999999967e+00 1.880617747000000062e+00 0.000000000000000000e+00 2.075471574000000048e-03 0.000000000000000000e+00
1.256380999999999943e+02 3.689087000999999866e-01 3.635000467000000235e-01 9.502649814999999478e+01 3.551624747000000326e+01 -1.753039294999999997e+00 7.196050052000000363e-01 1.920890575000000045e+00 0.000000000000000000e+00 1.052616060000000076e-02 0.000000000000000000e+00
1.273457999999999970e+02 3.716812051999999755e-01 3.714202936000000066e-01 1.011388280999999978e+02 3.318313767000000070e+01 -1.826236906999999965e+00 6.466243046999999855e-01 1.938866100000000037e+00 0.000000000000000000e+00 1.052616060000000076e-02 0.000000000000000000e+00
1.376957999999999913e+02 3.888630668999999984e-01 4.185685585999999736e-01 8.091464199000000690e+01 4.252502703999999767e+01 1.566625826000000110e+00 -9.078479328999999876e-01 1.511923007999999902e+00 0.000000000000000000e+00 -4.983288536000000241e-02 0.000000000000000000e+00
1.443557999999999879e+02 4.038574864000000209e-01 4.402569539000000254e-01 6.194095598999999908e+01 5.651677697000000222e+01 1.282307807000000022e+00 -1.192906330000000015e+00 1.206490041999999985e+00 0.000000000000000000e+00 -4.138219633000000258e-02 0.000000000000000000e+00
1.447458000000000027e+02 4.048677196000000089e-01 4.413462355000000170e-01 6.094724918000000002e+01 5.745376483999999806e+01 1.265658366999999895e+00 -1.209626673000000041e+00 1.190350986000000111e+00 0.000000000000000000e+00 -4.138219633000000258e-02 0.000000000000000000e+00
1.510057999999999936e+02 4.235706039000000089e-01 4.566213527999999910e-01 4.677430774999999841e+01 7.427373045999999590e+01 9.984166966999999948e-01 -1.477172976999999943e+00 9.577518582999999808e-01 0.000000000000000000e+00 -3.293150730000000276e-02 0.000000000000000000e+00
1.576458000000000084e+02 4.496584896999999970e-01 4.691642201999999817e-01 3.539766380999999740e+01 9.577343265999999744e+01 7.149524953000000460e-01 -1.760562678999999964e+00 7.655394424999999448e-01 0.000000000000000000e+00 -2.448081826999999946e-02 0.000000000000000000e+00
1.630734999999999957e+02 4.762041454000000007e-01 4.775205030999999933e-01 3.231513601000000335e+01 1.042310054999999949e+02 -6.260319381000000183e-01 1.869048951999999986e+00 6.706574749999999474e-01 0.000000000000000000e+00 -7.337230999000000648e-05 0.000000000000000000e+00
1.696835000000000093e+02 5.047529696000000454e-01 4.889515410999999978e-01 4.247310080999999826e+01 8.139920879000000298e+01 -9.107425177000000316e-01 1.585013100999999924e+00 6.966228316999999448e-01 0.000000000000000000e+00 8.377316719999999828e-03 0.000000000000000000e+00
1.763234999999999957e+02 5.263985868999999651e-01 5.038193749999999582e-01 5.646666305000000108e+01 6.224762228000000164e+01 -1.196745292999999988e+00 1.299205592999999936e+00 7.786979335999999474e-01 0.000000000000000000e+00 1.682800574999999965e-02 0.000000000000000000e+00
1.829735000000000014e+02 5.427685487000000197e-01 5.234627792999999585e-01 7.428795886000000337e+01 4.687397915999999753e+01 -1.483178799999999908e+00 1.012574153000000088e+00 9.170532619000000274e-01 0.000000000000000000e+00 2.527869477999999948e-02 0.000000000000000000e+00
1.896334999999999980e+02 5.553360743999999904e-01 5.496385183999999979e-01 9.595417423000000667e+01 3.530014366999999709e+01 -1.770043038999999929e+00 7.252048900999999992e-01 1.111857829999999936e+00 0.000000000000000000e+00 3.372938380999999930e-02 0.000000000000000000e+00
1.906835000000000093e+02 5.570445053000000479e-01 5.544754503000000057e-01 9.971875280999999802e+01 3.382487125000000106e+01 -1.815269889000000081e+00 6.798164561999999744e-01 1.147273683000000100e+00 0.000000000000000000e+00 3.372938380999999930e-02 0.000000000000000000e+00
2.016912000000000091e+02 5.750997791999999942e-01 6.052029013999999929e-01 8.167776231000000564e+01 4.205570984999999951e+01 1.583918093000000082e+00 -8.940720372999999555e-01 1.189317640000000065e+00 0.000000000000000000e+00 -1.437881522000000094e-03 0.000000000000000000e+00
2.020911999999999864e+02 5.758852946000000417e-01 6.067038464999999769e-01 8.041750127999999620e+01 4.277781311999999758e+01 1.566734486000000093e+00 -9.111861444000000088e-01 1.188742487000000070e+00 0.000000000000000000e+00 -1.437881522000000094e-03 0.000000000000000000e+00
2.083512000000000057e+02 5.899584018000000318e-01 6.271415750000000067e-01 6.248563950999999861e+01 5.585905790000000337e+01 1.297814224999999988e+00 -1.178395053000000026e+00 1.206191798000000093e+00 0.000000000000000000e+00 7.012807507000000384e-03 0.000000000000000000e+00
2.150012000000000114e+02 6.095115167000000334e-01 6.436983584000000036e-01 4.712461615000000137e+01 7.341814736999999980e+01 1.012139946000000013e+00 -1.461931835999999985e+00 1.279276787999999998e+00 0.000000000000000000e+00 1.546349653999999976e-02 0.000000000000000000e+00
2.216411999999999978e+02 6.354350055999999913e-01 6.563849885000000439e-01 3.557755180000000195e+01 9.471062736999999743e+01 7.268952580999999968e-01 -1.744597399000000104e+00 1.408403596999999952e+00 0.000000000000000000e+00 2.391418556999999959e-02 0.000000000000000000e+00
2.270689000000000135e+02 6.618850398000000190e-01 6.648332665999999724e-01 3.238246849000000083e+01 1.031197786999999977e+02 -6.178364524999999663e-01 1.844400167999999951e+00 1.621012976999999911e+00 0.000000000000000000e+00 7.853067966000000510e-02 0.000000000000000000e+00
2.336788999999999987e+02 6.904237800000000425e-01 6.763831036999999879e-01 4.241442305000000346e+01 8.059542088000000604e+01 -8.998742108999999711e-01 1.563151791999999984e+00 2.166545268000000135e+00 0.000000000000000000e+00 8.698136869000000493e-02 0.000000000000000000e+00
2.403189000000000135e+02 7.121272039999999581e-01 6.913895765999999998e-01 5.624582791000000270e+01 6.171552243000000004e+01 -1.183192033999999948e+00 1.280151054000000066e+00 2.770545425999999978e+00 0.000000000000000000e+00 9.543205772000000475e-02 0.000000000000000000e+00
2.469688999999999908e+02 7.285759998999999931e-01 7.111811244000000309e-01 7.386898576999999477e+01 4.657657972999999885e+01 -1.466936545000000036e+00 9.963363826000000145e-01 3.431611850999999991e+00 0.000000000000000000e+00 1.038827467000000004e-01 0.000000000000000000e+00
2.536288999999999874e+02 7.412224024000000355e-01 7.374786526000000064e-01 9.530092127999999718e+01 3.520021683000000223e+01 -1.751107745000000104e+00 7.117930446000000355e-01 4.149913556999999642e+00 0.000000000000000000e+00 1.123334358000000061e-01 0.000000000000000000e+00
2.539233999999999867e+02 7.417115761999999446e-01 7.388181561000000119e-01 9.633602442000000110e+01 3.478468297999999947e+01 -1.763673714000000059e+00 6.991877748000000503e-01 4.182995754000000233e+00 0.000000000000000000e+00 1.123334358000000061e-01 0.000000000000000000e+00
2.594266000000000076e+02 7.501899177999999946e-01 7.660004658000000299e-01 1.024141783999999973e+02 3.257941281000000089e+01 1.844955960000000061e+00 -6.390884566000000211e-01 4.495911175999999898e+00 0.000000000000000000e+00 -4.860782005000000017e-02 0.000000000000000000e+00
2.656865999999999985e+02 7.611372303000000228e-01 7.929763890000000037e-01 8.100065130999999496e+01 4.227230267000000197e+01 1.575775930999999908e+00 -9.092412895999999467e-01 4.218080181000000373e+00 0.000000000000000000e+00 -4.015713102000000034e-02 0.000000000000000000e+00
2.723466000000000236e+02 7.761263496000000428e-01 8.147726782999999973e-01 6.191882147999999830e+01 5.629666135000000082e+01 1.289395695999999925e+00 -1.196409167999999967e+00 3.977087018999999835e+00 0.000000000000000000e+00 -3.170644199000000052e-02 0.000000000000000000e+00
2.789966000000000008e+02 7.958648032999999788e-01 8.311868507999999878e-01 4.667159836999999811e+01 7.411420382000000018e+01 1.003445464999999981e+00 -1.482781064000000093e+00 3.792691881000000098e+00 0.000000000000000000e+00 -2.325575296000000070e-02 0.000000000000000000e+00
2.856365999999999872e+02 8.220398447000000219e-01 8.437479111000000254e-01 3.524182497000000325e+01 9.570233057999999460e+01 7.179252403000000449e-01 -1.768271142999999990e+00 3.664725755000000085e+00 0.000000000000000000e+00 -1.480506392999999914e-02 0.000000000000000000e+00
2.910643000000000029e+02 8.487278124999999562e-01 8.521064350000000509e-01 3.211600239999999928e+01 1.042525686000000036e+02 -6.178420886000000056e-01 1.860387667999999994e+00 3.785418125000000078e+00 0.000000000000000000e+00 1.164586734999999984e-01 0.000000000000000000e+00
2.976743000000000166e+02 8.774720741000000546e-01 8.635277089999999767e-01 4.216350858999999929e+01 8.152134116999999947e+01 -9.022213444000000138e-01 1.578460266000000001e+00 4.581651633999999973e+00 0.000000000000000000e+00 1.249093626000000040e-01 0.000000000000000000e+00
3.043143000000000029e+02 8.992802433000000040e-01 8.783610760000000184e-01 5.604170097000000084e+01 6.244270288999999963e+01 -1.187891291999999988e+00 1.294772744999999947e+00 5.437490848999999571e+00 0.000000000000000000e+00 1.333600516000000014e-01 0.000000000000000000e+00
3.109642999999999802e+02 9.157731945000000540e-01 8.979233626999999496e-01 7.374302326000000107e+01 4.711389124000000095e+01 -1.473991470000000081e+00 1.010265814000000040e+00 6.350775611000000431e+00 0.000000000000000000e+00 1.418107406000000126e-01 0.000000000000000000e+00
3.113643000000000143e+02 9.166296336000000489e-01 8.992862552999999481e-01 7.492910012999999481e+01 4.631254073000000204e+01 -1.491200695999999937e+00 9.931104738999999570e-01 6.407499907000000050e+00 0.000000000000000000e+00 1.418107406000000126e-01 0.000000000000000000e+00
3.176243000000000052e+02 9.284314995000000348e-01 9.239365781999999694e-01 9.528464148999999850e+01 3.555662946000000346e+01 -1.760521878999999901e+00 7.250249417999999890e-01 7.321674932999999719e+00 0.000000000000000000e+00 1.502614297000000043e-01 0.000000000000000000e+00
3.230620000000000118e+02 9.368402913000000165e-01 9.504504513000000543e-01 1.038368463999999989e+02 3.236821950000000214e+01 1.852345160000000046e+00 -6.192437374999999466e-01 7.711229600000000239e+00 0.000000000000000000e+00 -1.271152009000000027e-01 0.000000000000000000e+00
3.296820000000000164e+02 9.483256368000000380e-01 9.790316063999999763e-01 8.118221321000000046e+01 4.243749849000000296e+01 1.569843330999999953e+00 -9.017178005999999524e-01 6.896186772000000076e+00 0.000000000000000000e+00 -1.186645119000000054e-01 0.000000000000000000e+00
3.363419999999999845e+02 9.632681797000000046e-01 1.000776756000000045e+00 6.216494318000000163e+01 5.633993456000000322e+01 1.285634522999999918e+00 -1.185626544000000004e+00 6.132340294999999664e+00 0.000000000000000000e+00 -1.102138227999999998e-01 0.000000000000000000e+00
